match,market_name,player_name,line,over_price,under_price,agency
Boston Bruins v Carolina Hurricanes,Player Assists,Brent Burns,0.5,3.25,1.32,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,Casey Mittelstadt,0.5,3.25,1.3,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,David Pastrnak,0.5,2.05,1.72,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,Elias Lindholm,0.5,2.8,1.4,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,Jack Roslovic,0.5,3.7,1.25,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,Jackson Blake,0.5,2.8,1.4,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,Jesperi Kotkaniemi,0.5,3.6,1.26,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,Logan Stankoven,0.5,3.25,1.3,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,Mason Lohrei,0.5,3.1,1.33,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,Morgan Geekie,0.5,2.75,1.42,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,Pavel Zacha,0.5,2.95,1.3599999999999999,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,Sebastian Aho,0.5,1.9100000000000001,1.83,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,Shayne Gostisbehere,0.5,2.05,1.72,Neds
Boston Bruins v Carolina Hurricanes,Player Assists,Taylor Hall,0.5,2.6,1.46,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Alex Tuch,0.5,2.5,1.5,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Anthony Cirelli,0.5,3.25,1.3,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Brandon Hagel,0.5,2.05,1.72,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Brayden Point,0.5,2.1,1.7,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,JJ Peterka,0.5,2.35,1.5699999999999998,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Jack Quinn,0.5,3.7,1.25,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Jake Guentzel,0.5,2.05,1.72,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Jason Zucker,0.5,3.1,1.33,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Nick Paul,0.5,3.5,1.26,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Nikita Kucherov,0.5,1.48,2.55,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Oliver Bjorkstrand,0.5,3.4,1.28,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Rasmus Dahlin,0.5,2.15,1.6400000000000001,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Ryan McLeod,0.5,3.05,1.35,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Tage Thompson,0.5,2.6,1.46,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Victor Hedman,0.5,1.94,1.8,Neds
Buffalo Sabres v Tampa Bay Lightning,Player Assists,Yanni Gourde,0.5,3.4,1.28,Neds
Calgary Flames v Vegas Golden Knights,Player Assists,Blake Coleman,0.5,3.9,1.22,Neds
Calgary Flames v Vegas Golden Knights,Player Assists,Ivan Barbashev,0.5,3.6,1.26,Neds
