id,name,rot_num,line_id,price,handicap,selection,home_team,away_team
1607215559,Over,22,4870176861,2.17,1.5,Tyler Bertuzzi (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215560,Under,23,4870176862,1.625,1.5,Tyler Bertuzzi (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215574,Over,22,4872390912,1.671,1.5,Dylan Strome (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215575,Under,23,4872390913,2.12,1.5,Dylan Strome (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215832,Over,20,4870326934,1.819,1.5,Moritz Seider (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215833,Under,21,4870326935,1.917,1.5,Moritz Seider (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215853,Over,20,4869143710,1.9,2.5,Seth Jarvis (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215854,Under,21,4869143711,1.84,2.5,Seth Jarvis (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215589,Over,22,4870816129,1.961,2.5,Jakob Chychrun (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215590,Under,23,4870816130,1.787,2.5,Jakob Chychrun (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215841,Over,20,4869143694,2.41,2.5,Lucas Raymond (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215842,Under,21,4869143695,1.515,2.5,Lucas Raymond (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215613,Over,22,4872614443,2.13,2.5,Ryan Donato (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215614,Under,23,4872614444,1.645,2.5,Ryan Donato (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215865,Over,20,4870649760,1.512,1.5,Logan Stankoven (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215866,Under,21,4870649761,2.44,1.5,Logan Stankoven (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215601,Over,22,4869142666,1.588,1.5,Pierre-Luc Dubois (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215602,Under,23,4869142667,2.26,1.5,Pierre-Luc Dubois (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215760,Over,20,4869143185,1.862,1.5,Shayne Gostisbehere (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215761,Under,21,4869143186,1.877,1.5,Shayne Gostisbehere (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215748,Over,20,4869149184,1.512,1.5,Taylor Hall (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215749,Under,21,4869149185,2.42,1.5,Taylor Hall (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215514,Over,22,4872615119,1.709,3.5,Alex Ovechkin (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215515,Under,23,4872615120,2.06,3.5,Alex Ovechkin (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215772,Over,20,4869145666,2.0,2.5,Dylan Larkin (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215773,Under,21,4869145667,1.751,2.5,Dylan Larkin (Shots On Goal),Detroit Red Wings,Carolina Hurricanes
1607215526,Over,22,4870735323,1.487,1.5,John Carlson (Shots On Goal),Washington Capitals,Chicago Blackhawks
1607215527,Under,23,4870735324,2.48,1.5,John Carlson (Shots On Goal),Washington Capitals,Chicago Blackhawks
